Latitude,Longitude,Year Built,Beds,Baths,buildingSize,lotSize,PostalCode,Price
30.02885,-95.43459,1983.0,1.0,1.0,642.0,0.0,77090,767.0
29.733062,-95.320373,1946.0,1.0,1.0,650.0,8002.0,77023,650.0
29.768706,-95.413776,2003.0,3.0,4.0,2137.0,1594.0,77007,2650.0
29.762362,-95.212582,1950.0,3.0,1.0,1399.0,7257.0,77015,1600.0
29.738217,-95.334186,1929.0,2.0,2.0,1472.0,6000.0,77023,1800.0
29.683546,-95.434298,1957.0,3.0,2.0,1825.0,8250.0,77025,2490.0
29.909344,-95.587395,0.0,1.0,1.0,787.0,0.0,77065,1221.0
29.754484,-95.392403,2019.0,1.0,1.0,738.0,81544.0,77019,1989.0
29.742,-95.3917,2016.0,0.0,1.0,543.0,0.0,77006,1776.0
29.959187,-95.55777,0.0,2.0,2.0,1136.0,0.0,77070,1450.0
29.60521,-95.307362,2015.0,3.0,2.0,1605.0,5578.0,77048,1850.0
29.838294,-95.381457,0.0,2.0,1.0,720.0,0.0,77022,826.0
30.018197,-95.568643,0.0,3.0,2.0,1420.0,0.0,77070,1945.0
29.67654,-95.41775,0.0,0.0,1.0,638.0,0.0,77054,1250.0
29.829533,-95.547714,0.0,1.0,1.0,708.0,0.0,77043,1077.0
29.75437,-95.497513,0.0,2.0,2.0,1320.0,0.0,77057,1756.0
29.70822,-95.5646,0.0,0.0,1.0,300.0,0.0,77027,1500.0
29.714178,-95.54612,0.0,2.0,1.0,767.0,0.0,77036,1141.0
29.743251,-95.413818,1930.0,2.0,1.0,1145.0,7710.0,77019,1800.0
30.00895,-95.437281,2006.0,3.0,3.0,1787.0,2252.0,77090,1800.0
29.76885,-95.60673,2014.0,1.0,1.0,526.0,0.0,77079,1319.0
29.783424,-95.533035,0.0,2.0,2.0,1271.0,0.0,77024,3349.0
29.745215,-95.478592,1977.0,2.0,1.0,957.0,173604.0,77057,1600.0
29.764359,-95.3733,0.0,2.0,2.0,1121.0,0.0,77007,1797.0
29.767949,-95.309792,1948.0,3.0,1.0,1180.0,6250.0,77020,1700.0
29.596534,-95.496503,1974.0,3.0,2.0,1785.0,7240.0,77489,1800.0
30.018116,-95.431152,0.0,0.0,1.0,236.0,0.0,77090,699.0
29.76205,-95.635625,1984.0,4.0,3.0,3110.0,0.0,77077,3250.0
29.731044,-95.295433,2020.0,3.0,3.0,2201.0,2544.0,77011,2000.0
29.752522,-95.499046,2016.0,2.0,2.0,1453.0,385587.0,77057,2950.0
29.713942,-95.510605,0.0,2.0,2.0,1387.0,0.0,77036,1620.0
29.74991,-95.376244,0.0,2.0,2.0,1456.0,0.0,77002,3170.0
29.769868,-95.413843,2005.0,3.0,4.0,2098.0,1991.0,77007,2800.0
29.957348,-95.583702,0.0,2.0,2.0,1088.0,0.0,77070,1603.0
29.63258,-95.496689,0.0,1.0,1.0,610.0,0.0,77085,719.0
29.906216,-95.463864,0.0,4.0,3.0,2257.0,0.0,77038,2040.0
29.997668,-95.523779,2003.0,4.0,4.0,3512.0,10393.0,77069,3400.0
29.727631,-95.369522,1941.0,2.0,1.0,1896.0,5776.0,77004,1350.0
29.917857,-95.486876,0.0,5.0,3.0,2816.0,0.0,77086,2450.0
29.68984,-95.505524,0.0,1.0,1.0,728.0,0.0,77074,850.0
29.6157,-95.21037,0.0,1.0,1.0,622.0,0.0,77034,849.0
29.609547,-95.226391,0.0,1.0,1.0,712.0,0.0,77089,845.0
29.752577,-95.367744,0.0,1.0,1.0,678.0,0.0,77002,1475.0
29.729294,-95.380064,2015.0,1.0,1.0,912.0,0.0,77004,1754.0
29.96134,-95.42663,0.0,1.0,1.0,722.0,0.0,77067,820.0
29.694602,-95.411101,1983.0,2.0,2.0,1096.0,428630.0,77030,1700.0
29.729776,-95.442993,0.0,1.0,1.0,748.0,0.0,77027,1279.0
29.764278,-95.623253,0.0,2.0,2.0,1192.0,0.0,77077,1761.0
29.889437,-95.653906,0.0,5.0,3.0,2508.0,0.0,77095,2240.0
29.67238,-95.442432,1954.0,3.0,2.0,1121.0,7200.0,77025,1700.0
29.779733,-95.55808,2014.0,1.0,1.0,650.0,0.0,77024,1730.0
29.73978,-95.500075,0.0,1.0,1.0,632.0,0.0,77057,989.0
29.739679,-95.413895,0.0,2.0,2.0,1007.0,0.0,77098,1660.0
